title,description,source_url,ingredients,steps,image
Kahwa Recipe (Kashmiri Kahwa Tea),"Kahwa is a Kashmiri tea flavored with cinnamon, cardamom, and saffron. It is a great drink to sip on cold winter days but can be had throughout the year. Here is how to make it at home.",https://www.whiskaffair.com/authentic-kashmiri-tea-kahwa-recipe/,3 cups water | 10-12 strands saffron (plus 3-4 more for serving) | ½ inch  piece of cinnamon stick (dalchini) | 1  clove (laung) | 1  whole green cardamom (hari elaichi) (lightly crushed) | ½ teaspoon dried rose petals | 1 teaspoon Kashmiri green tea (or any other green tea) | 2 teaspoons almonds (thinly silvered) | 2 teaspoons honey  (optional),"Heat 3 cups of water in a pan over medium-high heat. Once the water comes to a boil, reduce the heat to low. Add the following ingredients to the hot water, then let it simmer for 3-4 minutes. | 12 strands of saffron ½ inch piece of cinnamon stick 1 clove 1 green cardamom ½ teaspoon dried rose petals | Switch off the heat. A dd 1 teaspoon Kashmiri green tea to the pan and stir gently. | Let the tea steep for 30-40 seconds. | Add 1 teaspoon of slivered almonds and 1-2 strands of saffron to each cup. Add honey if you like your kahwa slightly sweet. | Serve hot. | Heat water in a pan over medium-high heat. | Once the water comes to a boil, reduce the heat to low. | Add saffron, cinnamon, clove, cardamom, and dried rose petals to the pan and let the water simmer for 3-4 minutes. | Switch off the heat. | Add green tea to the pan and stir gently. | Add 1 teaspoon of slivered almond slivers and 1-2 strands of saffron to each cup. | Add honey if you like your kahwa slightly sweet. Serve hot.",https://www.whiskaffair.com/wp-content/uploads/2019/01/Kashmiri-Kahwa-Tea-2-3.jpg
White Urad Dal Recipe (Dhuli Urad Dal),Make North Indian style White Urad Dal (Dhuli Urad Dal) using my easy recipe and serve it for everyday Indian-style meals. You can make this recipe in a traditional pressure cooker or in an instant pot.,https://www.whiskaffair.com/urad-dal-recipe/,1 cup white urad dal (split and skinned black lentils) | ½ teaspoon turmeric powder | 1 teaspoon coriander powder | 2 teaspoons salt (or to taste) | 1 teaspoon grated ginger | 3 tablespoons ghee | ¼ teaspoon asafetida (hing) | 1 teaspoon cumin seeds | 2-3  dry red chilies | ½ cup chopped onions | 1 teaspoon Kashmiri red chili powder | 1 tablespoon lime juice | 2 tablespoons chopped cilantro (fresh coriander leaves),"Rinse 1 cup of white urad dal with water and soak it in 3-4 cups of water for 30 minutes. | Soaking the dal reduces cooking time and makes it easier to digest. | Drain the water and add the soaked dal to an Instant Pot. Add the following ingredients to the pot and stir to combine. | Close the Instant Pot lid and set the valve to the sealing position. | Press the PRESSURE COOK button and set the timer to 12 minutes at high pressure. Once the timer goes off, let the pressure release naturally for 10 minutes. Release the remaining pressure manually by moving the valve to the venting position. Open the lid. Mash the dal using the back of a ladle. | Add some hot water if the dal is too thick for your liking. Check for salt and add more if needed. | Rinse the dal with water and soak it in 3-4 cups of water for 30 minutes. | Drain the water and add the soaked dal to an instant pot. | Add turmeric powder, coriander powder, salt, and grated ginger along with 2 cups of water. Stir to combine. | Press the PRESSURE COOK button and set the timer to 12 minutes at high pressure. | Follow the recipe until you add all the ingredients to a pressure cooker. Add 3 cups of water instead of 2 cups. | Close the lid of the cooker. | Pressure cook in high heat for 1 whistle. | Reduce the heat to low and cook for 12 minutes. | Remove the cooker from heat and let the pressure release naturally. | Heat ghee in a small pan over medium-high heat. | Once the ghee is hot, add asafetida and cumin seeds and let them crackle for 4-5 seconds. | Add dry red chillies, and chopped onions and cook until onions turn golden brown, stirring frequently. | Add Kashmiri red chili powder and immediately add the tadka to the cooked dal. | Add lime juice and mix well. | Garnish the dal with chopped cilantro and serve hot.",https://www.whiskaffair.com/wp-content/uploads/2019/03/White-Urad-Dal-2-3.jpg
Beetroot Raita Recipe (Beet Raita),"Beetroot Raita (Beet Raita, Chukandar Ka Raita) is an Indian accompaniment made using yogurt, beet, and a few spices. This raita tastes great with any Indian food and comes together in under 20 minutes using simple ingredients. Here is how to make it.",https://www.whiskaffair.com/roasted-beetroot-raita-recipe/,"100 grams beetroots (or 1 medium-sized beetroot, peeled and cut into ½ inch cubes) | ¼ cup water (plus 2 cups for boiling the beets) | 2 cups chilled plain yogurt (dahi, curd) | ½ teaspoon salt (or to taste) | 1 teaspoon roasted cumin powder | 2  teaspoons finely chopped green chilies (or to taste) | 2 tablespoons oil | ½ teaspoon brown mustard seeds | 10-12  whole curry leaves | 2  whole dry red chilies | 2 tablespoons crushed raw peanuts","Wash 100 g (1 medium-sized) beetroot and peel it using a vegetable peeler. Chop off ½-inch pieces from the top and bottom and cut the beetroots into ½-inch cubes. | Tip – Be cautious when handling beets. They leave permanent marks on the clothes and color the surfaces that come into contact with them. Use an old chopping board and knife, and wear an apron. Chop the green chilies. | Heat 2 cups of water in a pan over medium-high heat. Once the water comes to a boil, add the beetroots. Cover the pan with a lid and cook until they are softened (8-10 minutes). | Note – You can also cook the beetroot in a traditional pressure cooker or instant pot. I am sharing the methods in notes, just in case you want to check. | Drain the water and add the beetroot to a blender along with ¼ cup of cold water. Blend to make a smooth puree. | Tip – You can use the leftover water from boiling the beets to make curries or knead the dough. | Add yogurt to a bowl and whisk it until it is smooth and creamy. | Add the beetroot puree, salt, cumin powder, and green chilies to the bowl and mix well. | Note – You can add some water to thin the raita if it is thick for your liking. The ideal consistency should be like that of custard. | Heat oil in a small skillet over medium-high heat. | Once the oil is hot, add mustard seeds and curry leaves and let them crackle for 4-5 seconds. | Add dry red chilies and lightly crushed peanuts to the skillet and fry until they are crispy and golden brown in color. | Pour the tempering over the beet raita and stir well. Serve chilled. | Tip – Save some tempering for garnishing.",https://www.whiskaffair.com/wp-content/uploads/2018/12/Beetroot-Raita-2-3.jpg
Cold Coffee Recipe,"Make this creamy, frothy Cafe-Style Cold Coffee at home using 5 simple ingredients. It comes together in just 5 minutes, and you will love the foamy layer on top.",https://www.whiskaffair.com/cold-coffee-recipe/,"4 teaspoons instant coffee powder | 1 tablespoon granulated white sugar | 2 tablespoons warm milk | 2 cups chilled milk (whole, skim, low fat or plant-based) | 1 tablespoons milk powder (dairy whitener) | 2 scoops vanilla ice cream | 3-4  ice cubes","Garnish two tall glasses by drizzling some chocolate syrup on the sides. Freeze the glasses for 10 minutes. | Stir together the following ingredients in a small mixing bowl. | teaspoon instant coffee powder 2 tablespoon granulated white sugar 2 tablespoon warm milk | Mix until the sugar is dissolved. | Add the following ingredients to the medium jar of a blender and blend for a minute. | coffee mixture Check for sugar and add more if needed. | Pour the coffee into the prepared glasses. | Scoop the froth using a spoon and top it over the coffee. Sprinkle some coffee powder on top and serve immediately. | Stir together instant coffee powder, sugar, and warm milk in a small mixing bowl. | Add chilled milk, milk powder, vanilla ice cream, ice cubes, and the coffee mixture to the medium jar of a blender and blend for a minute. | Check for sugar and add more if needed. | Sprinkle some coffee powder on top and serve immediately.",https://www.whiskaffair.com/wp-content/uploads/2021/03/Cold-Coffee-2-3.jpg
Mint Chutney Recipe (Pudina Chutney),"This Mint Chutney (Pudina Chutney) is a great accompaniment to your stuffed parathas, pakoras, biryanis, and chaat. Make this refreshing chutney using my easy recipe.",https://www.whiskaffair.com/mint-chutney-recipe/,1 cup mint leaves (packed and rinsed) | ½ cup cilantro (fresh coriander leaves) (packed and rinsed) | 1-2  garlic cloves (peeled) | 2 teaspoons chopped ginger | 2 teaspoons chopped green chilies | ½ teaspoon roasted cumin powder | ½ teaspoon salt (or to taste) | 2 tablespoons freshly squeezed lime juice | 2 tablespoons water,"Start by cleaning the mint and cilantro. You need 1 cup of mint (packed) and ½ cup of cilantro (packed). Discard the thick stems of mint, keeping only the leaves and tender stems. You can keep the cilantro stems. Wash them well 2-3 times with water to remove dirt. Drain well. | Add all the ingredients to the jar of a blender. | Blend to make a smooth chutney. Scrape the sides of the jar a few times while making the chutney.",https://www.whiskaffair.com/wp-content/uploads/2021/04/Mint-Chutney-2-3.jpg
Paneer Masala Recipe,Paneer Masala is an easy-to-make curry where paneer cubes are simmered in an onion-tomato-based spicy gravy. It can be paired with Indian bread or jeera rice. Make this curry using my easy recipe.,https://www.whiskaffair.com/paneer-masala-recipe/,"14 ounces paneer (400 g, cut into 1-inch pieces) | ½ teaspoon salt | ½ teaspoon Kashmiri red chili powder | ½ teaspoon turmeric powder | 2 tablespoons oil | 2 tablespoons oil | 2 tablespoons ghee | 2  green cardamoms (hari elaichi) (crushed) | 2-3  cloves (laung) (crushed) | 5-6  black peppercorns (kali mirch) (crushed) | 1 inch piece of cinnamon stick (dalchini) (crushed) | 3-4  whole dry red chilies | 1 teaspoon cumin seeds | ¼ teaspoon asafetida (hing) | 1 cup finely chopped onions | 2 teaspoons ginger garlic paste | 2 teaspoons coriander powder | ½ teaspoon turmeric powder | 2 teaspoons Kashmiri red chili powder | ½ teaspoon cumin powder | ½ teaspoon garam masala powder | 2 tablespoons roasted besan (chickpea flour, gram flour) | 1 teaspoon salt  (or to taste) | 1 cup grated tomatoes | 2-3  green chilies (slit into half) | 2 tablespoons crushed Kasuri methi | 1 tablespoons freshly squeezed lime juice | 2 tablespoons chopped cilantro (fresh coriander leaves)","Rinse 14 oz (400 g) of paneer slabs and cut them into 1-inch pieces. Tip – If using store-bought paneer, then soak it in hot water for 10 minutes to make it soft. | Mix the paneer pieces with the following ingredients in a large mixing bowl and keep aside for 15 minutes. | Rinse paneer slabs and cut them into 1-inch pieces. | Mix the paneer pieces with salt, chili powder, and turmeric powder in a large mixing bowl and keep aside for 15 minutes. | Heat oil in a pan over medium-high heat. | Arrange the paneer on the pan in a single layer and fry from all sides until browned. | Note – Fry in batches if the paneer pieces are not fitting in a single layer. | Remove the paneer from the pan and keep it aside. | Add oil and ghee to the same pan and heat over medium-high heat. | Once the oil is hot, add cardamoms, cloves, black peppercorns, cinnamon, dry red chilies, cumin seeds, and asafetida, and fry for 5-6 seconds. | Add onions and fry until it turns slightly brown (6-8 minutes), stirring frequently. | Add ginger garlic paste and fry until the onions are nicely browned (6-8 minutes), stirring frequently. | Now add coriander powder, turmeric powder, red chili powder, cumin powder, garam masala powder, besan, and, salt, and fry for 10-12 seconds. | Add tomatoes and green chilies and cook until the oil starts to separate from the sides of the pan (3-4 minutes), stirring frequently. | Now add 1 cup of water, fried paneer pieces, and Kasuri methi, and mix well. Cook for 2-3 minutes, stirring a few times in between. | Finally, add lime juice and cilantro and mix well. | Check for salt and add more if needed. | Serve hot with roti.",https://www.whiskaffair.com/wp-content/uploads/2020/08/Dhaba-Style-Paneer-Masala-2-3.jpg
Shengdana Amti Recipe (Danyachi Amti),"Shengdana Amti (Peanut Amti, Danyachi Amti) is a delicious curry made using peanuts as the base. It is made especially for vrat (Hindi fasting) in Maharashtra. Here is how to make it.",https://www.whiskaffair.com/shengdana-amti-recipe/,1 cup skinless raw peanuts | ½ cup grated fresh coconut  (packed) | 2-3  green chilies (roughly chopped) | 1 tablespoon ghee (replace with oil for a vegan recipe) | 1 teaspoon cumin seeds | 3 cups water (divided) | 2-3  whole dried kokum (or 2 tsp tamarind paste) | ½ teaspoon salt (or to taste) | 2 tablespoons chopped cilantro (coriander),"Add 1 cup of skinless raw peanuts to a pan and roast them on medium heat until slightly browned (5-8 minutes). | Stir frequently while roasting. | Remove the pan from the heat and let the roasted peanuts cool down completely. | Add the following ingredients to a blender. | 2-3 roughly chopped green chilies | Add 1 cup of water and blend to make a smooth paste. Scrape the sides a few times while blending. | Heat 1 tablespoon ghee in a pan over medium-high heat. | Once the ghee is hot, add 1 teaspoon cumin seeds and let them crackle for 4-5 seconds. Note: Some people add 2-3 cloves to the tempering. You can try it too. | Add the peanut paste, remaining 2 cups of water, and 2-3 whole dried kokum to the pan and stir well. Bring the amti to a boil. | Add 2 teaspoon tamarind paste if kokum is not available. | Now add ½ teaspoon salt and cook the amti for 3-4 minutes on low heat . | Note – Some people add jaggery to their amti. I am not a fan of sweet amti, but if you wish, you can try adding some at this stage. Check for salt and add more if needed. | Garnish with 2 tablespoon chopped cilantro and serve hot. | Add peanuts to a pan and roast them on medium heat until they are slightly browned. Stir frequently while roasting. | Note – If your peanuts are with skin, then remove their pink skin. Check notes. | Remove the pan from heat and let the peanuts cool completely. | Add the roasted peanuts, fresh coconut, and green chilies to a blender. | Add 1 cup water to the blender and blend to make a smooth paste. | Heat ghee in a pan over medium-high heat. | Once the ghee is hot, add cumin seeds and let them crackle for 4-5 seconds. | You can add 2-3 cloves along with cumin seeds for added taste if you wish to. | Add the peanut paste, remaining 2 cups of water, and kokum to the pan and bring the amti to a boil. | Add salt and cook the amti for 3-4 minutes on low heat. | Check for salt and add more if needed. | Some people add jaggery to their amti. I am not a fan of sweet amti but if you wish, you can try adding some at this stage. | Garnish with cilantro and serve hot.",https://www.whiskaffair.com/wp-content/uploads/2020/12/Shengdana-Amti-2-3.jpg
Rasmalai Trifle Recipe,"Rasmalai Trifle is a creamy and indulgent fusion dessert prepared with rasmalai flavored whipped cream, rasmalai pieces, sponge cake, and powdered pistachios. Make it this festive season and impress your guests.",https://www.whiskaffair.com/rasmalai-trifle-recipe/,½ cup chilled sweetened heavy whipping cream | 15-20  saffron strands (soaked in 1 tbsp milk) | ½ teaspoon cardamom powder | ½ cup rabdi | 5-6 drops rasmalai essence (optional) | 1 cup crumbled sponge cake | 6  chopped rasmalai with milk | 2 tablespoons powdered pistachios | mini rasmalai for garnishing,"Whip the heavy cream using a hand mixer until stiff peaks are formed. | Gently fold in saffron soaked in milk, cardamom powder, rabdi, and rasmalai essence. | Transfer the cream to a piping bag fitted with a large nozzle. | Add ¼ cup of crumbled cake to a small serving glass or bowl and spread it evenly. | Top with some chopped rasmalai and drizzle a few tablespoons of rasmalai milk all over. | Pipe the cream on top until the glass is almost full. | Garnish with pistachio powder and mini rasmalai. | Assemble all the trifles in the same manner. | Serve chilled.",https://www.whiskaffair.com/wp-content/uploads/2022/08/Rasmalai-Trifle-2-3.jpg
Paan Truffles Recipe,Paan Truffle is an easy and quick fusion dessert perfect to serve for festivals like Diwali or Holi. Make it using my easy recipe.,https://www.whiskaffair.com/paan-truffles-recipe/,7 ounces cooking white chocolate (200 g) | 0.35 ounce unsalted butter (10 g) | 2 tablespoons sweetened heavy whipping cream | 2 tablespoons paan syrup | 2 tablespoons mukhwaas (plus more for garnishing),Chop the white chocolate into small pieces. | Add 2 cups of water to a pan and bring it to a boil over high heat. | Reduce the heat to low. | Keep a glass bowl over the pan and add white chocolate to it. | Keep mixing using a silicon spatula until the chocolate melts and is smooth and shiny. | Add butter and cream to the bowl and mix well until the butter is melted and is combined well with the chocolate. | Add paan syrup and mukhwaas to the bowl and mix well. | Refrigerate the mixture for 20 minutes. | Make small balls from the chocolate mixture and roll them in mukhwaas. | Garnish with silver foil and serve!,https://www.whiskaffair.com/wp-content/uploads/2022/08/Paan-Truffles-2-3.jpg
Egg Bhurji Recipe (Anda Bhurji),"Make Mumbai Street-Style Egg Bhurji (Anda Bhurji, Indian Spiced Scrambled Eggs) in under 20 minutes using my easy recipe. Serve it for breakfast or a main course with pav, bread, or buns.",https://www.whiskaffair.com/egg-bhurji-recipe/,"4  large eggs | ½ teaspoon salt | 2 tablespoons oil | 1 tablespoon butter (salted or unsalted, replace with oil for dairy-free recipe) | ½ cup chopped onions | 2 teaspoons finely chopped green chilies | 1 teaspoon finely chopped ginger | 1 teaspoon finely chopped garlic | ½ cup finely chopped tomatoes | 1 teaspoon coriander powder | ¼ teaspoon turmeric powder | 2 teaspoons pav bhaji masala powder | ½ teaspoon Kashmiri red chili powder | 1 teaspoon freshly squeezed lime juice | 2 tablespoons chopped cilantro (fresh coriander leaves)","Whisk 4 eggs and ½ teaspoon salt in a medium mixing bowl using a wire whisk. Set aside. | Hea t 2 tablespoons of oil and 1 tablespoon of butter (salted or unsalted) in a nonstick pan over medium-high heat. | Once the oil is hot, add ½ cup of chopped onions and saute until the onions turn translucent, stirring frequently. | Add the following ingredients and sauté until the onions are lightly browned . Stir frequently. | 2 teaspoon finely chopped green chilies | 1 teaspoon finely chopped ginger | 1 teaspoon finely chopped garlic | Now, add ½ cup of finely chopped tomatoes and cook for another minute. Mash the tomatoes with the back of the ladle while cooking. | Next, add the following ingredients and cook for 30-40 seconds, stirring continuously. | teaspoon coriander powder ¼ teaspoon turmeric powder 2 teaspoon pav bhaji masala ½ teaspoon Kashmiri red chili powder | Reduce the heat to medium-low. | Add the whisked eggs to the pan. | Stir the eggs with the ladle or a silicon spatula until they are well mixed with the masala and have formed scrambled eggs . | Note: If you prefer a soft bhurji, cook the eggs until just set. Remember that they will keep cooking from the residual heat in the pan for some time . If you like perfectly cooked bhurji, cook it until the eggs are nicely cooked. | Add 1 teaspoon of freshly squeezed lime juice and 2 tablespoons of chopped cilantro, and mix well. Serve hot. | Whisk eggs and salt in a medium mixing bowl using a wire whisk. Set aside. | Heat oil and butter in a nonstick pan over medium-high heat. | Once the oil is hot, add onions and saute until they turn translucent, stirring frequently. | Add green chilies, ginger, and garlic, and saute until the onions are light brown in color. Stir frequently. | Now, add tomatoes and cook for an additional minute. Mash the tomatoes with the back of the ladle while cooking. | Next, add coriander powder, turmeric powder, pav bhaji masala, and Kashmiri red chili powder, and cook for 30-40 seconds, stirring continuously. | Stir the eggs using the ladle until they get mixed with the masala and gets scrambled. | Note – If you prefer a soft bhurji, cook the eggs just until set. Remember that they will continue cooking for some time from the residual heat in the pan. If you like perfectly cooked bhurji, then cook it until the eggs are nicely cooked | Add lime juice and cilantro and mix well. Serve hot.",https://www.whiskaffair.com/wp-content/uploads/2020/07/Egg-Bhurji-2-3.jpg
