title,state,region,source_type,source_url,ingredient_count,step_count,ingredients,instructions
3 ingredient choco bar recipe | nutty chocobar ice cream | 3 ways choco bar,Unclassified,Unclassified,web,https://hebbarskitchen.com/3-ingredient-nutty-choco-bar-recipe/,6,16,"2 cup cream, 0.5 cup powdered sugar, 1 tsp vanilla extract, 4 grams dark chocolate, 0.25 cup oil, 0.5 cup crushed peanuts","1. firstly, in a large bowl take 2 cup fresh cream, ½ cup powdered sugar and 1 tsp vanilla extract. 2. beat on medium speed. you can also use a hand whisk. 3. after 2 minutes, the cream starts to thicken forming soft peaks. 4. transfer the ice cream base into the popsicle mould. 5. cover and freeze for 8 hours or until it sets completely. 6. to prepare outer coating, take 400 grams dark chocolate, ¼ cup oil in a large bowl. 7. using double boiler method, melt the chocolate completely. 8. silky smooth chocolate sauce is ready. 9. cool slightly, and transfer to a tall glass. 10. now unmould the ice cream and dip into prepared chocoalte sauce. 11. allow it to dry up without touching. plain choco bar ice cream ready. 12. to prepare crunchy choco bar, immediately after dipping into chocolate sauce, rollover crushed peanuts. 13. to prepare nutty choco bar, add 3 tbsp crushed peanuts into the chocolate sauce. 14. and then dip the ice cream popsicle into the peanut chocolate sauce. 15. allow it to dry up without touching. nutty choco bar ice cream ready. 16. finally, enjoy 3 ways choco bar. you can freeze and enjoy for up to a month."
7 Cup Barfi Recipe | 7 Cup Cake | Seven Cup Burfi | Seven Cup Burfi,Unclassified,Unclassified,web,https://hebbarskitchen.com/7-cup-barfi-recipe-seven-cup-burfi/,8,10,"1 cup besan, 1 cup coconut, 1 cup cashew powder, 2 cup sugar, 1 cup ghee, 1 cup milk, pinch saffron food colour, 0.5 tsp cardamom powder","1. Firstly, in a large kadai take 1 cup besan, 1 cup coconut, 1 cup cashew powder, 2 cup sugar, 1 cup ghee and 1 cup milk. 2. Mix well making sure everything is well combined. 3. Now turn on the flame and start cooking on medium flame. 4. Stir until the mixture starts to thicken. 5. Now add a pinch saffron food colour and mix well. 6. Cook until the mixture starts to separate the pan and holds shape. 7. Add ½ tsp cardamom powder and mix until the mixture starts to turn frothy. 8. Transfer to the tray and level up uniformly. 9. Rest for 30 minutes and cut into pieces. 10. Finally, enjoy 7 Cup Burfi stored in an airtight container for a month."
7 cup burfi recipe | 7 cup cake | 7 cups sweet,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/7-cups-burfi-recipe-besan/,6,17,"0.5 cup besan, 0.5 cup coconut, 0.5 cup milk, 0.5 cup ghee, 1 cup sugar, 0.5 tsp cardamom powder","1. Grease a tray or an aluminium foil to pour the mixture. You can also use a parchment paper. Set this aside. 2. You can also add tiny chunks of cashews or pistachios to this, if you like to use, chop them and keep them ready. 3. Measure ½ cup ghee and melt it in a heavy bottom pan. Set aside. We will need hot ghee later. 4. Add ½ cup besan to a heavy bottom pan and begin to roast on a medium low flame. Keep stirring and roast it until fragrant. Do not let it brown. Keep stirring constantly. You don’t need to brown or roast it a lot like we do for besan ladoo. This step will take about 4 to 5 mins. Once it begins to smell good and aromatic, move to the next step. 5. Add ½ cup coconut or cashew powder and mix well. You can use fresh or desiccated coconut. 6. Tip: To make cashew powder you can just pulse ½ cup cashews in a mixer to a coarse powder. Measure the powder and add it. Do not blend at a stretch otherwise it will release oil. 7. Lower the flame and roast for 2 to 3 minutes. Again do not let the flour discolor. 8. Add 1 cup sugar. 9. Pour ½ cup milk. 10. Pour ¼ cup ghee from the melted ghee. 11. Mix well. Put on the flame to medium. The sugar melts and the mixture turns gooey. Keep stirring from here to the end without interrupting else the mixture gets burnt. 12. It takes around 10 to 12 minutes for the mixture to reach the final stage, but do not go by the time. Just for an approximation I mentioned it. 13. After few minutes, you will see the mixture begins to bubble. Continue stirring. 14. Add cardamom powder. Continue to stir and cook until the mixture thickens. 15. When you see the consistency of the mixture thickens, add ¼ cup hot ghee. Preferably hot this time to get a porous texture. If the ghee you heated up is not hot, heat it up again before adding. If you want a soft burfi then you can add ghee just as it is. Stir well again for the mixture to absorb the ghee. 16. You will find the mixture begins to leave the sides of the pan. But still quite runny. Continue to cook. Be attentive as it is going to reach the final stage. Adjust the flame if needed. 17. The mixture thickens and you can see lot of pores (bubbles) in the mixture. The mixture completely leaves the sides now and becomes heavy. It becomes a mass. If you cook past this stage, burfi will break or become powder."
aam papad recipe | mango papad | aam ka pappad recipe,Unclassified,Unclassified,web,https://hebbarskitchen.com/aam-papad-recipe-mango-papad/,4,11,"2 cup mango, 2 tbsp sugar, 0.25 tsp cardamom powder, 0.5 tsp ghee clarified butter","1. firstly, in the blender take 2 cup mango and 2 tbsp sugar. 2. blend to smooth paste without adding any water. 3. transfer the mango puree to the kadai and begin to cook. 4. stir continuously and cook on medium flame until it thickens well. 5. now add ¼ tsp cardamom powder and mix well. 6. further, brush ½ tsp ghee on a steel plate. 7. transfer the puree onto the plate and spread uniformly. 8. sundry for 2 days or a week, until it turns translucent. 9. scrape the sides using the knife. 10. peel gently without damaging the aam papad. 11. finally, cut into the desired shape and roll aam papad."
Achari Chicken Recipe,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/achari-chicken/,23,12,"2 tablespoons coriander seeds, 1 tablespoon cumin seeds, 1.25 tablespoon fennel seeds, 0.25 tablespoon mustard seeds, 0.25 teaspoon fenugreek seeds, 2 red chilies, 1 teaspoon Kashmiri chili powder, 0.25 teaspoon turmeric, 0.625 teaspoon sea salt, 1.5 lbs chicken, 3.5 tablespoons oil, 0.625 teaspoon kalonji, 1 cup onions, 1 tablespoon ginger garlic paste, 0.75 cup tomatoes, 4 chili peppers, 0.3333333333333333 cup yogurt, 0.5 cup water, 0.5 teaspoon sugar, 0.75 teaspoon amchur, 1.5 tablespoons mango achar pickle, 1 tablespoon coriander leaves, 1 teaspoon ginger","1. To a small spice grinder, add coriander seeds, red chilies, cumin, fennel seeds, methi seeds, mustard seeds, turmeric, salt and red chili powder. Make a fine powder. 2. Marinate chicken with 1 tablespoon of the prepared achari masala and half of the chaat masala or amchur. If it is too dry, add a splash of oil. Cover and rest aside until you prepare the rest. 3. On a medium flame, heat oil in a pan/pot and add kalonji. When they begin to sizzle, add onions and saute on a medium heat, until golden for 8 to 9 mins. 4. Stir in the ginger garlic paste and saute for a minute, until aromatic. Reduce the flame and stir in the achari masala. Saute for 1 to 2 mins, until aromatic. (If the pan is dry, add a tablespoon of oil.) 5. Add the tomatoes and saute till the masala becomes thick. 6. Lower the flame and incorporate the yogurt into the pan. Increase the heat to medium and saute for 5 to 7 mins, until the fats begin to appear on top. 7. If using chili peppers to stuff, reserve 2 tablespoons of this cooked masala in a small bowl. 8. Add the marinated chicken to the pan and saute on a medium high heat for 5 to 6 mins. Pour hot water (start with lower amount). Mix well and cook covered for 10 mins. 9. While the chicken cooks, slit each chili pepper lengthwise, keeping the stalk & the edges intact. Deseed for low heat. Stir in rest of the amchur or chaat masala to the reserved achari onion tomato masala. Taste test to adjust salt. Stuff this into the chili peppers. Heat a tablespoon of oil in a small pan and fry them until blistered, for 4 to 5 mins. 10. When the chicken is half cooked, add the stuffed chili peppers and push them slightly into the curry. Cover and cook until the chicken is fully cooked through and the chilies wilt/ soften completely. (It takes me 20 mins to cook the bone-in chicken) 11. Turn off and taste test to adjust salt or add sugar. If you feel the need sprinkle more chaat masala or amchur or mango achar over the achari chicken. Garnish with ginger juliennes. 12. Sprinkle coriander leaves before serving. Serve achari chicken with basmati rice, parathas, naan or tandoori roti."
Achari Paneer Recipe,Unclassified,North,web,https://www.indianhealthyrecipes.com/achari-paneer-masala-recipe/,23,7,"1 tablespoon coriander seeds, 2 red chilies, 1 tablespoon fennel seeds, 1 teaspoon cumin seeds, 0.5 teaspoon mustard seeds, 1 pinch methi seeds, 0.5 cup tomatoes, 0.25 cup green, 2 tablespoon mustard oil, 0.5 teaspoon kalonji, 0.125 teaspoon asafoetida, 0.5 cup onions, 1 teaspoon ginger garlic paste, 0.125 teaspoon turmeric, 0.75 teaspoon Kashmiri chili powder, 1 teaspoon sugar, 0.5 teaspoon sea salt, 0.3333333333333333 cup curd, 0.5 cup water, 2 grams paneer, 2 tablespoons coriander leaves, 0.25 inch ginger slice, 1 teaspoon achar pickle of choice","1. Add red chilies, coriander seeds, fennel seeds, cumin, mustard and methi seeds to a spice jar. Make a fine powder. Your spice blend is ready, Keep this aside. Puree tomatoes and capsicum. Set this aside as well. 2. Heat oil in a pan and add kalonji seeds. When they splutter add hing, followed by finely chopped onions. Saute until golden. 3. Add ginger garlic paste and saute till the raw smell goes away, for a minute. Lower the flame and stir in the achari spice blend. Saute for a minute or 2, on a low heat until aromatic. Do not burn. 4. Pour the tomato capsicum puree and cook until the mixture turns thick & aromatic. Stir in the chili powder, salt, turmeric and sugar. Saute for 2 mins. 5. Turn down the flame to low and stir in half of the curd. Mix well and stir in the rest until well incorporated. Cook until the masala turns thick and leaves the pan. 6. Stir in the water and cook until the gravy becomes thickens and traces of oil are visible on top. Stir in the paneer and ginger juliennes. Cover and cook on a low heat for 2 mins. Taste test and adjust salt, if you want you may stir in the achar or lemon juice. 7. Transfer achari paneer masala to a serving bowl. Garnish with coriander leaves. Serve hot with Basmati rice, Tandoori roti or with Jeera rice."
achari paneer tikka recipe | easy achari paneer tikka on tawa,Unclassified,Unclassified,web,https://hebbarskitchen.com/easy-achari-paneer-tikka-recipe-tawa/,18,15,"1 cup thick curd yogurt, 1 tsp mustard powder rai powder, 1.5 tsp kashmiri red chili powder lal mirch powder, 0.5 tsp turmeric haldi, 1 tsp fennel powder saunf powder, 0.25 tsp cumin powder jeera powder, 0.5 tsp garam masala, 1 tbsp ginger - garlic paste, 0.25 tsp methi powder fenugreek powder, 0.25 tsp ajwain carom seeds, 2 tbsp mustard oil any cooking oil, 0.5 tsp kasuri methi dry fenugreek leaves, 1 tbsp lemon juice, salt to taste, 1 capsicum, 0.5 medium sized onion, 9 cubes paneer cottage cheese, 3 tsp oil","1. firstly, in a large mixing bowl take curd. 2. further add mustard powder, chili powder, turmeric, fennel powder, cumin powder, garam masala, methi powder, ajwain and kasuri methi leaves. 3. also add ginger garlic paste. 4. additionally add 2 tbsp mustard oil or any cooking oil. 5. now add lemon juice. 6. furthermore add salt to taste. 7. whisk smooth making sure the spices are mixed well with the curd. 8. now add capsicum, onions and paneer / cottage cheese. 9. mix gently without breaking paneer. 10. further, cover and refrigerate to marinate for 1 hour or more. 11. place the marinated paneer, capsicum and onions over tawa and pan fry. 12. roast the tikkas on medium flame on both side with oil as required. 13. now insert the marinated paneer, capsicum and onions into wooden skewers. 14. also garnish with leftover tikka sauce. 15. finally, serve achari paneer tikka with green chuntey and few salads."
Adai Recipe | Adai Dosa,Tamil Nadu,South,web,https://www.indianhealthyrecipes.com/adai-recipe-adai-dosa/,14,10,"0.75 cup rice, 0.25 cup chana dal, 0.25 cup toor dal, 2 tablespoons moong dal, 2 tablespoons urad dal, 0.875 inch ginger, 4.5 red chilies, 0.875 teaspoon cumin seeds, 0.125 teaspoon Hing, 0.5 teaspoon salt, 0.5 cup water, 2 tablespoons Oil, 1 onion, 2 tablespoons coriander leaves","1. To a large bowl, add all the lentils and rice. Rinse them very well thrice. Add fresh water and red chilies. Soak them for at least 2 to 4 hours. (overnight is okay) 2. Drain the water and add them to a grinder jar along with cumin and ginger. Pour fresh water. Blend to a slightly coarse thick batter, adding more water only as needed. 3. The batter has to be thick yet of spreading consistency. The batter is ready to use now alternately you may rest for 2 to 4 hours at room temperature. 4. Heat a pan on a medium heat and add few drops of oil. Smear it all over the pan with a kitchen tissue. 5. While the pan heats, add chopped onions, salt, hing, coriander leaves to the batter. Mix everything well. Taste test and adjust salt. 6. To make thick adai, keep the consistency of batter thick else add more water as needed for a slightly thin batter. (see photos in the post for consistency). 7. Regulate the flame to medium. Make sure the pan is hot and pour a ladle full of batter. Spread it quickly like a dosa, thick or thin as per your liking. 8. Add ½ tsp oil or ghee across the edges. Cook on a medium heat until the edges loosen from the pan. Turn it and cook on the other side as well. Make sure it is cooked on both the sides until crisp. 9. To make the next one, be sure to heat the pan well. It should be hot but not smoking hot. 10. Serve adai dosa with coconut chutney or any other chutney."
Ajwain Leaves Benefits & Uses | Doddapatre Kashaya Drink,Unclassified,Unclassified,web,https://hebbarskitchen.com/ajwain-leaves-benefits-uses/,5,6,"5 ajwain leaf doddapatre karpooravalli vamu aku, 3 cup water, 1 tsp pepper, 1 inch cinnamon, 0.5 tsp cloves","1. Firstly, heat the 5 ajwain leaf directly on fire to release the juice. You can squeeze the juice directly and give it to kids for instant relief. 2. Take 3 cup water in a saucepan. 3. Cut the 5 doddapatre leaves into pieces. 4. Also add 1 tsp pepper, 1 inch cinnamon and ½ tsp cloves. 5. Stir and boil for 5 minutes or until the flavours are infused. 6. Finally, strain the water and enjoy Doddapatre Kashaya hot."
Akki Roti,Karnataka,South,web,https://www.indianhealthyrecipes.com/akki-roti-recipe-akki-rotti/,13,13,"1 cup rice flour, 1 onion, 3 tablespoons coconut, 0.5 carrot, 2 green chilli, 2.5 tablespoons coriander leaves, 0.5 teaspoon cumin, 0.3333333333333333 teaspoon Salt, 0.5 teaspoon ginger grated, water, 1 tablespoon oil, 2.5 tablespoons sabsige soppu, 1 tablespoon chana dal","1. Wash and chop very finely 1 small onions, 2 green chilies and handful of coriander leaves. Grate ½ carrot & ½ teaspoon ginger. If using sabsige, rinse well and chop finely. 2. Add 1 cup flour to a large mixing bowl along with 1/3 teaspoon salt, ½ teaspoon cumin, chopped onions, chilies, coriander leaves and carrots. Mix everything well. You can also add about 2 to 3 tablespoons grated coconut & 2 to 3 tablespoons dill leaves. 3. Pour water little by little and make a soft dough. The dough must be smooth and moist. Divide the dough to 4 equal balls. Roll to smooth. Keep the bowl covered to prevent drying up. 4. You can make akki roti on a greased banana leaf, moist handkerchief, foil or parchment paper. 5. Place a ball on the moist cloth or foil or greased banana leaf. 6. Begin to spread it lightly with your fingers to make a round roti. If the edges of akki roti crack, then dip your fingers in water and join the cracks. Then continue to spread it. 7. It can be made thick or thin to suit your taste. If making thick, make 3 finger sized wholes with one and half inches apart. 8. Heat the greased tawa on a medium high flame. Lift the banana leaf or parchment paper and reverse it on the hot tawa, the roti facing the tawa. Gently peel off the leaf. 9. When the base firms up & golden, flip it. Toast it on both the sides. After flipping it sprinkle some oil. Press down with a spatula to cook evenly. 10. Remove akki roti when you see brown spots. Do not over cook it may turn hard. While you toast the akki roti, make another one on the leaf or cloth. Transfer to the tawa after the first one is done. 11. If you are making directly on the tawa then you will need 2 tawas to use them alternately. Or cool the tawa completely and then spread the next roti. 12. Lightly grease a cool tawa & keep it on a kitchen counter. Place the ball on the tawa and spread it directly to a thin akki roti. Place the tawa now on the stove and cook until the base firms. Then flip & cook on the other side until done. Press down with a spatula to cook evenly. 13. To make the next akki roti either use another cool tawa or wait until the first one cools completely. If you try to spread the dough on the hot tawa it will get stuck and not spread at all. Serve akki roti with chutney."
