title,state,region,source_type,source_url,ingredient_count,step_count,ingredients,instructions
7 cup burfi recipe | 7 cup cake | 7 cups sweet,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/7-cups-burfi-recipe-besan/,6,17,"0.5 cup besan, 0.5 cup coconut, 0.5 cup milk, 0.5 cup ghee, 1 cup sugar, 0.5 tsp cardamom powder","1. Grease a tray or an aluminium foil to pour the mixture. You can also use a parchment paper. Set this aside. 2. You can also add tiny chunks of cashews or pistachios to this, if you like to use, chop them and keep them ready. 3. Measure ½ cup ghee and melt it in a heavy bottom pan. Set aside. We will need hot ghee later. 4. Add ½ cup besan to a heavy bottom pan and begin to roast on a medium low flame. Keep stirring and roast it until fragrant. Do not let it brown. Keep stirring constantly. You don’t need to brown or roast it a lot like we do for besan ladoo. This step will take about 4 to 5 mins. Once it begins to smell good and aromatic, move to the next step. 5. Add ½ cup coconut or cashew powder and mix well. You can use fresh or desiccated coconut. 6. Tip: To make cashew powder you can just pulse ½ cup cashews in a mixer to a coarse powder. Measure the powder and add it. Do not blend at a stretch otherwise it will release oil. 7. Lower the flame and roast for 2 to 3 minutes. Again do not let the flour discolor. 8. Add 1 cup sugar. 9. Pour ½ cup milk. 10. Pour ¼ cup ghee from the melted ghee. 11. Mix well. Put on the flame to medium. The sugar melts and the mixture turns gooey. Keep stirring from here to the end without interrupting else the mixture gets burnt. 12. It takes around 10 to 12 minutes for the mixture to reach the final stage, but do not go by the time. Just for an approximation I mentioned it. 13. After few minutes, you will see the mixture begins to bubble. Continue stirring. 14. Add cardamom powder. Continue to stir and cook until the mixture thickens. 15. When you see the consistency of the mixture thickens, add ¼ cup hot ghee. Preferably hot this time to get a porous texture. If the ghee you heated up is not hot, heat it up again before adding. If you want a soft burfi then you can add ghee just as it is. Stir well again for the mixture to absorb the ghee. 16. You will find the mixture begins to leave the sides of the pan. But still quite runny. Continue to cook. Be attentive as it is going to reach the final stage. Adjust the flame if needed. 17. The mixture thickens and you can see lot of pores (bubbles) in the mixture. The mixture completely leaves the sides now and becomes heavy. It becomes a mass. If you cook past this stage, burfi will break or become powder."
Achari Chicken Recipe,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/achari-chicken/,23,12,"2 tablespoons coriander seeds, 1 tablespoon cumin seeds, 1.25 tablespoon fennel seeds, 0.25 tablespoon mustard seeds, 0.25 teaspoon fenugreek seeds, 2 red chilies, 1 teaspoon Kashmiri chili powder, 0.25 teaspoon turmeric, 0.625 teaspoon sea salt, 1.5 lbs chicken, 3.5 tablespoons oil, 0.625 teaspoon kalonji, 1 cup onions, 1 tablespoon ginger garlic paste, 0.75 cup tomatoes, 4 chili peppers, 0.3333333333333333 cup yogurt, 0.5 cup water, 0.5 teaspoon sugar, 0.75 teaspoon amchur, 1.5 tablespoons mango achar pickle, 1 tablespoon coriander leaves, 1 teaspoon ginger","1. To a small spice grinder, add coriander seeds, red chilies, cumin, fennel seeds, methi seeds, mustard seeds, turmeric, salt and red chili powder. Make a fine powder. 2. Marinate chicken with 1 tablespoon of the prepared achari masala and half of the chaat masala or amchur. If it is too dry, add a splash of oil. Cover and rest aside until you prepare the rest. 3. On a medium flame, heat oil in a pan/pot and add kalonji. When they begin to sizzle, add onions and saute on a medium heat, until golden for 8 to 9 mins. 4. Stir in the ginger garlic paste and saute for a minute, until aromatic. Reduce the flame and stir in the achari masala. Saute for 1 to 2 mins, until aromatic. (If the pan is dry, add a tablespoon of oil.) 5. Add the tomatoes and saute till the masala becomes thick. 6. Lower the flame and incorporate the yogurt into the pan. Increase the heat to medium and saute for 5 to 7 mins, until the fats begin to appear on top. 7. If using chili peppers to stuff, reserve 2 tablespoons of this cooked masala in a small bowl. 8. Add the marinated chicken to the pan and saute on a medium high heat for 5 to 6 mins. Pour hot water (start with lower amount). Mix well and cook covered for 10 mins. 9. While the chicken cooks, slit each chili pepper lengthwise, keeping the stalk & the edges intact. Deseed for low heat. Stir in rest of the amchur or chaat masala to the reserved achari onion tomato masala. Taste test to adjust salt. Stuff this into the chili peppers. Heat a tablespoon of oil in a small pan and fry them until blistered, for 4 to 5 mins. 10. When the chicken is half cooked, add the stuffed chili peppers and push them slightly into the curry. Cover and cook until the chicken is fully cooked through and the chilies wilt/ soften completely. (It takes me 20 mins to cook the bone-in chicken) 11. Turn off and taste test to adjust salt or add sugar. If you feel the need sprinkle more chaat masala or amchur or mango achar over the achari chicken. Garnish with ginger juliennes. 12. Sprinkle coriander leaves before serving. Serve achari chicken with basmati rice, parathas, naan or tandoori roti."
Achari Paneer Recipe,Unclassified,North,web,https://www.indianhealthyrecipes.com/achari-paneer-masala-recipe/,23,7,"1 tablespoon coriander seeds, 2 red chilies, 1 tablespoon fennel seeds, 1 teaspoon cumin seeds, 0.5 teaspoon mustard seeds, 1 pinch methi seeds, 0.5 cup tomatoes, 0.25 cup green, 2 tablespoon mustard oil, 0.5 teaspoon kalonji, 0.125 teaspoon asafoetida, 0.5 cup onions, 1 teaspoon ginger garlic paste, 0.125 teaspoon turmeric, 0.75 teaspoon Kashmiri chili powder, 1 teaspoon sugar, 0.5 teaspoon sea salt, 0.3333333333333333 cup curd, 0.5 cup water, 2 grams paneer, 2 tablespoons coriander leaves, 0.25 inch ginger slice, 1 teaspoon achar pickle of choice","1. Add red chilies, coriander seeds, fennel seeds, cumin, mustard and methi seeds to a spice jar. Make a fine powder. Your spice blend is ready, Keep this aside. Puree tomatoes and capsicum. Set this aside as well. 2. Heat oil in a pan and add kalonji seeds. When they splutter add hing, followed by finely chopped onions. Saute until golden. 3. Add ginger garlic paste and saute till the raw smell goes away, for a minute. Lower the flame and stir in the achari spice blend. Saute for a minute or 2, on a low heat until aromatic. Do not burn. 4. Pour the tomato capsicum puree and cook until the mixture turns thick & aromatic. Stir in the chili powder, salt, turmeric and sugar. Saute for 2 mins. 5. Turn down the flame to low and stir in half of the curd. Mix well and stir in the rest until well incorporated. Cook until the masala turns thick and leaves the pan. 6. Stir in the water and cook until the gravy becomes thickens and traces of oil are visible on top. Stir in the paneer and ginger juliennes. Cover and cook on a low heat for 2 mins. Taste test and adjust salt, if you want you may stir in the achar or lemon juice. 7. Transfer achari paneer masala to a serving bowl. Garnish with coriander leaves. Serve hot with Basmati rice, Tandoori roti or with Jeera rice."
Adai Recipe | Adai Dosa,Tamil Nadu,South,web,https://www.indianhealthyrecipes.com/adai-recipe-adai-dosa/,14,10,"0.75 cup rice, 0.25 cup chana dal, 0.25 cup toor dal, 2 tablespoons moong dal, 2 tablespoons urad dal, 0.875 inch ginger, 4.5 red chilies, 0.875 teaspoon cumin seeds, 0.125 teaspoon Hing, 0.5 teaspoon salt, 0.5 cup water, 2 tablespoons Oil, 1 onion, 2 tablespoons coriander leaves","1. To a large bowl, add all the lentils and rice. Rinse them very well thrice. Add fresh water and red chilies. Soak them for at least 2 to 4 hours. (overnight is okay) 2. Drain the water and add them to a grinder jar along with cumin and ginger. Pour fresh water. Blend to a slightly coarse thick batter, adding more water only as needed. 3. The batter has to be thick yet of spreading consistency. The batter is ready to use now alternately you may rest for 2 to 4 hours at room temperature. 4. Heat a pan on a medium heat and add few drops of oil. Smear it all over the pan with a kitchen tissue. 5. While the pan heats, add chopped onions, salt, hing, coriander leaves to the batter. Mix everything well. Taste test and adjust salt. 6. To make thick adai, keep the consistency of batter thick else add more water as needed for a slightly thin batter. (see photos in the post for consistency). 7. Regulate the flame to medium. Make sure the pan is hot and pour a ladle full of batter. Spread it quickly like a dosa, thick or thin as per your liking. 8. Add ½ tsp oil or ghee across the edges. Cook on a medium heat until the edges loosen from the pan. Turn it and cook on the other side as well. Make sure it is cooked on both the sides until crisp. 9. To make the next one, be sure to heat the pan well. It should be hot but not smoking hot. 10. Serve adai dosa with coconut chutney or any other chutney."
Akki Roti,Karnataka,South,web,https://www.indianhealthyrecipes.com/akki-roti-recipe-akki-rotti/,13,13,"1 cup rice flour, 1 onion, 3 tablespoons coconut, 0.5 carrot, 2 green chilli, 2.5 tablespoons coriander leaves, 0.5 teaspoon cumin, 0.3333333333333333 teaspoon Salt, 0.5 teaspoon ginger grated, water, 1 tablespoon oil, 2.5 tablespoons sabsige soppu, 1 tablespoon chana dal","1. Wash and chop very finely 1 small onions, 2 green chilies and handful of coriander leaves. Grate ½ carrot & ½ teaspoon ginger. If using sabsige, rinse well and chop finely. 2. Add 1 cup flour to a large mixing bowl along with 1/3 teaspoon salt, ½ teaspoon cumin, chopped onions, chilies, coriander leaves and carrots. Mix everything well. You can also add about 2 to 3 tablespoons grated coconut & 2 to 3 tablespoons dill leaves. 3. Pour water little by little and make a soft dough. The dough must be smooth and moist. Divide the dough to 4 equal balls. Roll to smooth. Keep the bowl covered to prevent drying up. 4. You can make akki roti on a greased banana leaf, moist handkerchief, foil or parchment paper. 5. Place a ball on the moist cloth or foil or greased banana leaf. 6. Begin to spread it lightly with your fingers to make a round roti. If the edges of akki roti crack, then dip your fingers in water and join the cracks. Then continue to spread it. 7. It can be made thick or thin to suit your taste. If making thick, make 3 finger sized wholes with one and half inches apart. 8. Heat the greased tawa on a medium high flame. Lift the banana leaf or parchment paper and reverse it on the hot tawa, the roti facing the tawa. Gently peel off the leaf. 9. When the base firms up & golden, flip it. Toast it on both the sides. After flipping it sprinkle some oil. Press down with a spatula to cook evenly. 10. Remove akki roti when you see brown spots. Do not over cook it may turn hard. While you toast the akki roti, make another one on the leaf or cloth. Transfer to the tawa after the first one is done. 11. If you are making directly on the tawa then you will need 2 tawas to use them alternately. Or cool the tawa completely and then spread the next roti. 12. Lightly grease a cool tawa & keep it on a kitchen counter. Place the ball on the tawa and spread it directly to a thin akki roti. Place the tawa now on the stove and cook until the base firms. Then flip & cook on the other side until done. Press down with a spatula to cook evenly. 13. To make the next akki roti either use another cool tawa or wait until the first one cools completely. If you try to spread the dough on the hot tawa it will get stuck and not spread at all. Serve akki roti with chutney."
Alasanda Vada (Black Eyed Pea Fritters),Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/alasanda-vada-recipe-lobia-vada-baked-and-fried-recipes/,10,13,"1 cup black eyed peas, 0.25 teaspoon turmeric, 1.5 tablespoon rice flour, 1.5 teaspoon ginger garlic paste, 2 green chilies, 1 teaspoon cumin, 0.25 cup coriander leaves, 0.25 cup onions, 0.625 cup Oil, 0.41666666666666663 teaspoon salt","1. Wash & soak alasandalu for 4 hours. Rinse and drain water thoroughly. 2. Add them to a grinder jar along with salt and ginger garlic. 3. Grind to a coarse paste, splashing little water only if required. Test by shaping some batter to a vada. If it does not bind or hold shape, add a few tablespoons of the batter to the grinder and make a smooth paste and mix it well with the rest. 4. Make sure there are no whole lentils left without getting crushed as they can burst while frying the vadas. 5. Transfer this batter to a mixing bowl. Add all the other ingredients - onions, coriander leaves, rice flour (optional), green chilies and cumin seeds. Mix together well. Taste test and add more salt if required. 6. Pour oil to a deep pan and heat it on a medium flame until hot. 7. Grease a cling wrap or a plastic sheet or a parchment paper. You can also grease your hands and shape them in your palms directly. 8. Take small portions of the batter and place them on the greased sheet or hand. Shape to balls and flatten them to thick vadas/ patties. 9. Test if the oil is hot by dropping a small portion of the batter to the hot oil. It should sizzle and rise to the surface without turning brown. If the batter sinks, it means the oil is not ready to fry yet. So heat it a little longer. 10. Gently transfer the vadas to the hot oil. Do not touch them for 3 mins, let them fry on a medium heat. Do not crowd the pan, fry only as many as your kadai and oil can accommodate. 11. Later turn them to the other side and fry until golden and crisp. Remove to a cooling rack. Make sure the oil is hot but not smoking hot before you add the next batch of alasanda vada. 12. Place the shaped vadas in the air fryer basket or rack. Air fry for 10 mins at 180 C or 350 F. 13. Turn them to the other side and air fry for another 6 to 7 mins. Adjust the time as needed depending on your air fryer. They will turn hard if you over fry them. Once done brush the hot air fried alasandalu vada with oil or ghee."
Allam Pachadi (Ginger Pickle),Andhra Pradesh,South,web,https://www.indianhealthyrecipes.com/allam-pachadi/,13,11,"25 grams Ginger, 0.25 tsp turmeric powder, 1 grams tamarind, 62.5 grams jaggery, 6 tbsp Red chili powder, Salt, 1 tbsp fenugreek seeds, 2 sprig curry leaves, 1 tsp mustard, 9 ml oil, 2 red chilies, garlic, 1 Pinch hing","1. Wash ginger under running water to remove mud and dirt. Peel off the skin if desired. Dry it for some time or overnight on an absorbent paper or cloth. 2. Soak tamarind in boiled and cooled water till we need it. Do not use lot of water, it must be just enough to soak the tamarind, so that we get a thick paste. 3. Dry roast 1 tbsp. Fenugreek seeds and powder them to fine powder. Set aside only 1 tbsp. powder to use. 4. Chop ginger to bite sized pieces and fry them on a medium flame till they turn slightly golden in little oil, for 3 to 4 minutes. Cool these completely 5. Blend it in a mixer to a smooth paste without adding water. Do not let the blender heat up. 6. Squeeze filter the tamarind pulp to remove impurities. We need thick tamarind paste, if it is thin, then boil the filtered tamarind to thicken. 7. All the ingredients need to be cool at this stage. Add the tamarind pulp, red chili powder, turmeric and salt to the ginger mix. Blend well again. 8. Add jaggery and blend again. Do not add the sweetener before you blend all the other ingredients well since this will thicken the mix and the mixer becomes loaded. Check the taste of the pickle now, it has to taste sour, sweet, hot and spicy. Adjust any taste as needed. 9. To finish off add methi powder and mix. 10. Heat the rest of the oil in a pan, add mustard and garlic. Add curry leaves, red chilies and hing. fry till the leaves turn crisp. Off the stove. Add the ginger pickle to the seasoning and mix well in the hot pan. 11. Cool completely and store allam pachadi in a glass bottle."
Almond Jaggery Burfi Sweet,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/almond-burfi-using-coconut-palm-sugar-or-jaggery/,6,7,"1.5 cups almonds, 1.25 cups jaggery, 0.25 cup water, 0.125 teaspoon green cardamom powder, 1 teaspoon almond oil, 1 teaspoon sesame seeds","1. Grease a tray, square pan or plate. I use a 8 inch brownie pan. 2. Add almonds and cardamoms to a mixer jar. Grind them to a powder. Do not overgrind to the extent they begin to release oils. 3. Dissolve jaggery with water in a pan and strain the liquid to remove any impurities. Rinse the pan and return the syrup back to the pan. 4. Boil the jaggery syrup till it reaches soft ball consistency. 5. To test add ½ tsp of the syrup to a bowl of water, You should be able to make a soft ball. 6. Add the ground almond powder and switch off the heat. Stir well until the almond meal blends well. Pour it to the greased tray and sprinkle sesame seeds or chopped nuts. 7. Leave it undisturbed for 5 to 6 hours and cut it to squares. If it does not set, it means the jaggery syrup wasn’t cooked well. You can return the entire almond jaggery mixture to the pan and cook for a little longer. When it is done you will be able to make a non-sticky ball."
Almond milk powder (Badam milk powder),Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/homemade-almond-badam-milk-powder/,2,12,"1 cup almonds, 2.5 cups water","1. Bring 2 to 3 cups of water to a rolling boil. Pour the almonds and leave them for 1 to 2 mins. 2. Drain them to a colander and rinse under cold running water. Drain completely. 3. Spread them on a clean cotton cloth. The skin of almonds loosens. 4. Peel off the skin. Pat them dry on a clean dry cloth. 5. Roast these almonds in a heavy bottom pan on a low flame until completely dry & moisture free. You can also do this in your oven on the lowest heat (60 C or 140 F) setting for 20 mins, stirring after 10 mins. 6. Do not brown the almonds but they must turn crunchy after roasting. Cool them completely. 7. Add them to a dry grinder like a spice jar or coffee grinder. Grind in intervals of 15 to 20 seconds on a minimum speed until you get a fine powder. Do not blend them for too long at a stretch as they begin to release oil making the power lumpy. 8. If your grinder isn't powerful enough, then sieve it to separate the coarse nuts. Grind the coarse nuts again. 9. Store almond powder in an air tight container. Stays good for several months at room temperature. If you live in a humid weather, then refrigerate it. 10. To make the milk, add 2 to 3 tablespoons of the almond powder to a cup. Pour ¼ cup boiling hot milk or water. Add your favorite flavorings like ⅛ teaspoon cardamom powder or 4 strands of crushed saffron. You can also stir in your sweetener. Let it sit for 10 mins, then top with more milk or water as desired. 11. Top your cereals: Sprinkle the almond powder on your grown-up or toddler’s cereals. This is a good way of serving almonds to toddlers who cannot still chew nuts. 12. You can also add this to desserts, ladoos, cookies and milkshakes."
Almond yogurt,Unclassified,Unclassified,web,https://www.indianhealthyrecipes.com/almond-yogurt-recipe/,2,9,"1 cup almonds, yogurt starter","1. Heat 2 cups water in a pot. Add almonds and leave them for a minute or two. 2. Drain them to a colander and rinse under running water. 3. Then spread them on a clean cloth. You will see the skins loosen. 4. You can easily peel them. 5. Then add these peeled almonds to the pot and cover them with clean water. Soak for 6 hours. do not cover the bowl or pot. If you want cover with a thin cloth so air circulates. These are the almonds after soaking. 6. Rinse the soaked almonds and then transfer to a grinder. Pour water little by little and begin to grind until you get a smooth paste. Keep adding water as you grind the mixture. 7. The puree has to be smooth. You won’t get a very smooth consistency like flour mixture though. If it is not smooth you will feel the grits in your yogurt. Transfer this to a steel bowl. 8. Heat 1 cup water in a small pot. Turn off the heat. Then place the bowl in the water and keep stirring till the mixture becomes warm. Do not let the mixture become hot as this alters the flavor completely. When it is warm, transfer this to a clean glass or ceramic jar. Add your yogurt starter. If using powdered starter, you may dissolve it in 1 tbsp water and pour it here. I used 1 teaspoon regular homemade yogurt here. 9. Cover this and keep in a warm place for 3 to 8 hours depending on the temperature. When the almond yogurt is ready you will get a faint smell of yogurt. However if it is the first time you are making this then you need to be careful and keep checking after 3 hours. If you leave it too long it will ferment and rise which we don’t want. Serve almond yogurt as is or use it to make lassi, chaas, smoothie, raita or curry."
